Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
000020,2025-09-12,6410,2025-09-22,6320,6,-1.404056162246492,STOP,동화약품,2025-09
000020,2025-09-18,6400,2025-09-22,6320,2,-1.2499999999999956,STOP,동화약품,2025-09
000050,2026-01-02,9370,2026-01-05,8960,1,-4.375667022411955,STOP,경방,2026-01
000050,2026-01-30,9350,2026-02-13,10370,10,10.909090909090914,TIMEOUT,경방,2026-01
000050,2026-02-24,10400,2026-02-27,10200,3,-1.9230769230769273,STOP,경방,2026-02
000050,2026-03-26,9500,2026-03-31,9020,3,-5.052631578947365,STOP,경방,2026-03
000050,2026-04-01,9450,2026-04-02,8910,1,-5.714285714285716,STOP,경방,2026-04
000050,2026-04-17,10020,2026-05-04,10320,10,2.9940119760478945,TIMEOUT,경방,2026-04
000070,2025-09-02,56921,2025-09-16,61125,10,7.385674882732207,TIMEOUT,삼양홀딩스,2025-09
000070,2025-11-07,69800,2025-11-21,69800,10,0.0,TIMEOUT,삼양홀딩스,2025-11
000070,2025-11-14,69800,2025-11-24,62800,6,-10.028653295128942,STOP,삼양홀딩스,2025-11
000070,2025-12-22,62200,2025-12-29,59100,4,-4.983922829581989,STOP,삼양홀딩스,2025-12
000070,2026-04-21,68100,2026-05-06,66200,9,-2.7900146842878115,STOP,삼양홀딩스,2026-04
000080,2025-09-12,19450,2025-09-18,19180,4,-1.3881748071979394,STOP,하이트진로,2025-09
000087,2025-09-15,15600,2025-09-19,15510,4,-0.5769230769230749,STOP,하이트진로2우B,2025-09
000100,2025-09-02,114000,2025-09-16,119300,10,4.649122807017547,TIMEOUT,유한양행,2025-09
000100,2025-09-08,121700,2025-09-17,116200,7,-4.519309778142977,STOP,유한양행,2025-09
000100,2025-09-22,123200,2025-09-25,118000,3,-4.2207792207792245,STOP,유한양행,2025-09
000100,2025-10-02,119900,2025-10-13,118400,2,-1.2510425354462007,STOP,유한양행,2025-10
000100,2025-11-14,125000,2025-11-19,116000,3,-7.199999999999996,STOP,유한양행,2025-11
000100,2025-11-20,118700,2025-11-21,116700,1,-1.6849199663016012,STOP,유한양행,2025-11
000100,2025-11-26,119400,2025-12-04,118400,6,-0.8375209380234505,STOP,유한양행,2025-11
000105,2025-09-03,105300,2025-09-17,103700,10,-1.5194681861348536,STOP,유한양행우,2025-09
000105,2025-09-22,108000,2025-09-25,104800,3,-2.9629629629629672,STOP,유한양행우,2025-09
000105,2025-10-02,106300,2025-10-13,105500,2,-0.7525870178739402,STOP,유한양행우,2025-10
000105,2025-11-17,111900,2025-11-19,104100,2,-6.970509383378021,STOP,유한양행우,2025-11
000105,2025-11-20,106600,2025-11-21,104100,1,-2.3452157598499057,STOP,유한양행우,2025-11
000105,2025-11-26,106400,2025-12-02,106100,4,-0.28195488721804995,STOP,유한양행우,2025-11
000120,2025-09-15,86500,2025-09-22,83400,5,-3.583815028901738,STOP,CJ대한통운,2025-09
000120,2025-12-02,93400,2025-12-03,100500,1,7.601713062098492,T_star,CJ대한통운,2025-12
000120,2025-12-12,95300,2025-12-22,94900,6,-0.41972717733472775,STOP,CJ대한통운,2025-12
000120,2025-12-17,96000,2025-12-22,94900,3,-1.1458333333333348,STOP,CJ대한통운,2025-12
000120,2026-01-14,99600,2026-01-28,99300,10,-0.3012048192771122,TIMEOUT,CJ대한통운,2026-01
000120,2026-01-28,99300,2026-02-05,109400,6,10.171198388721049,T_star,CJ대한통운,2026-01
000140,2025-09-09,10220,2025-09-19,10120,8,-0.9784735812133127,STOP,하이트진로홀딩스,2025-09
000145,2025-12-19,13170,2026-01-05,12530,8,-4.859529233105542,STOP,하이트진로홀딩스우,2025-12
000145,2026-02-13,12180,2026-02-24,12070,4,-0.9031198686371145,STOP,하이트진로홀딩스우,2026-02
000150,2025-09-08,596000,2025-09-22,601000,10,0.8389261744966348,TIMEOUT,두산,2025-09
