Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,close_ma_atr,gap_in_atr,Name,entry_month,cma_bucket
000020,2025-09-12,6410,2025-09-22,6320,6,-1.404056162246492,STOP,0.630901287553648,0.15879828326180256,동화약품,2025-09,0.5~1.0
000020,2025-09-18,6400,2025-09-22,6320,2,-1.2499999999999956,STOP,0.49783549783549785,0.4458874458874459,동화약품,2025-09,≤0.5
000050,2026-01-02,9370,2026-01-05,8960,1,-4.375667022411955,STOP,0.2724824986537426,0.45234248788368336,경방,2026-01,≤0.5
000050,2026-01-30,9350,2026-02-13,10370,10,10.909090909090914,TIMEOUT,1.9910141206675225,0.14762516046213095,경방,2026-01,1.5~2.0
000050,2026-02-24,10400,2026-02-27,10200,3,-1.9230769230769273,STOP,0.31102882835228773,0.426342237503306,경방,2026-02,≤0.5
000050,2026-03-26,9500,2026-03-31,9020,3,-5.052631578947365,STOP,0.15052732502396932,0.016299137104506232,경방,2026-03,≤0.5
000050,2026-04-01,9450,2026-04-02,8910,1,-5.714285714285716,STOP,0.22269807280513917,0.22055674518201285,경방,2026-04,≤0.5
000050,2026-04-17,10020,2026-05-04,10320,10,2.9940119760478945,TIMEOUT,1.682230869001297,0.10505836575875487,경방,2026-04,1.5~2.0
000070,2025-09-02,56921,2025-09-16,61125,10,7.385674882732207,TIMEOUT,0.6906044072840654,0.02370155176079102,삼양홀딩스,2025-09,0.5~1.0
000070,2025-11-07,69800,2025-11-21,69800,10,0.0,TIMEOUT,0.5977714724833008,0.4911922917775002,삼양홀딩스,2025-11,0.5~1.0
000070,2025-11-14,69800,2025-11-24,62800,6,-10.028653295128942,STOP,0.44041279864285654,0.44041279864285654,삼양홀딩스,2025-11,≤0.5
000070,2025-12-22,62200,2025-12-29,59100,4,-4.983922829581989,STOP,0.4383561643835616,0.03287671232876712,삼양홀딩스,2025-12,≤0.5
000070,2026-04-21,68100,2026-05-06,66200,9,-2.7900146842878115,STOP,0.2275,0.1775,삼양홀딩스,2026-04,≤0.5
000080,2025-09-12,19450,2025-09-18,19180,4,-1.3881748071979394,STOP,1.3893557422969187,0.16806722689075632,하이트진로,2025-09,1.0~1.5
000087,2025-09-15,15600,2025-09-19,15510,4,-0.5769230769230749,STOP,0.2366412213740458,0.03307888040712468,하이트진로2우B,2025-09,≤0.5
000100,2025-09-02,114000,2025-09-16,119300,10,4.649122807017547,TIMEOUT,0.01874414245548266,0.2849109653233365,유한양행,2025-09,≤0.5
000100,2025-09-08,121700,2025-09-17,116200,7,-4.519309778142977,STOP,2.2706896551724136,0.4844827586206897,유한양행,2025-09,2.0~2.5
000100,2025-09-22,123200,2025-09-25,118000,3,-4.2207792207792245,STOP,2.0283018867924527,0.49245283018867925,유한양행,2025-09,2.0~2.5
000100,2025-10-02,119900,2025-10-13,118400,2,-1.2510425354462007,STOP,0.2356637863315004,0.0408483896307934,유한양행,2025-10,≤0.5
000100,2025-11-14,125000,2025-11-19,116000,3,-7.199999999999996,STOP,1.6914285714285715,0.038857142857142854,유한양행,2025-11,1.5~2.0
000100,2025-11-20,118700,2025-11-21,116700,1,-1.6849199663016012,STOP,0.15550755939524838,0.12958963282937366,유한양행,2025-11,≤0.5
000100,2025-11-26,119400,2025-12-04,118400,6,-0.8375209380234505,STOP,0.34450261780104713,0.2523560209424084,유한양행,2025-11,≤0.5
000105,2025-09-03,105300,2025-09-17,103700,10,-1.5194681861348536,STOP,0.7188841201716738,0.09656652360515021,유한양행우,2025-09,0.5~1.0
000105,2025-09-22,108000,2025-09-25,104800,3,-2.9629629629629672,STOP,1.279642058165548,0.24608501118568232,유한양행우,2025-09,1.0~1.5
000105,2025-10-02,106300,2025-10-13,105500,2,-0.7525870178739402,STOP,0.20118343195266272,0.023668639053254437,유한양행우,2025-10,≤0.5
000105,2025-11-17,111900,2025-11-19,104100,2,-6.970509383378021,STOP,2.129230769230769,0.09846153846153846,유한양행우,2025-11,2.0~2.5
000105,2025-11-20,106600,2025-11-21,104100,1,-2.3452157598499057,STOP,0.37727910238429174,0.270687237026648,유한양행우,2025-11,≤0.5
000105,2025-11-26,106400,2025-12-02,106100,4,-0.28195488721804995,STOP,0.3213828425096031,0.49295774647887325,유한양행우,2025-11,≤0.5
000120,2025-09-15,86500,2025-09-22,83400,5,-3.583815028901738,STOP,2.0759493670886076,0.08227848101265822,CJ대한통운,2025-09,2.0~2.5
000120,2025-12-02,93400,2025-12-03,100500,1,7.601713062098492,T_star,0.6089193825042881,0.4922813036020583,CJ대한통운,2025-12,0.5~1.0
000120,2025-12-12,95300,2025-12-22,94900,6,-0.41972717733472775,STOP,0.2719594594594595,0.49493243243243246,CJ대한통운,2025-12,≤0.5
